id	shadow_prices	metabolite	name
cpd00296_c	23.857142857142954	cpd00296	dGMP
cpd00277_c	64.85714285714292	cpd00277	Deoxyguanosine
cpd15339_c	339.4285714285702	cpd15339	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
cpd00214_c	270.71428571428453	cpd00214	Palmitate
cpd00797_e	37.42857142857122	cpd00797	(R)-3-Hydroxybutanoate
cpd00797_c	38.42857142857122	cpd00797	(R)-3-Hydroxybutanoate
cpd01324_c	120.28571428571414	cpd01324	L-Histidinal
cpd00794_c	134.14285714285748	cpd00794	D-Trehalose
cpd00501_c	28.57142857142878	cpd00501	beta-D-Glucose 1-phosphate
cpd03407_c	34.14285714285679	cpd03407	gamma-Glutamyl-beta-cyanoalanine
cpd15343_c	61.57142857142873	cpd15343	2-Acyl-sn-glycero-3-phosphoglycerol dodecanoyl
cpd00957_c	42.857142857142975	cpd00957	2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone
cpd00159_c	18.71428571428564	cpd00159	L-Lactate
cpd15561_c	11.0	cpd15561	Ubiquinol-8
cpd00051_e	133.28571428571382	cpd00051	L-Arginine
cpd00064_e	102.8571428571424	cpd00064	Ornithine
cpd11554_c	17.999999999999872	cpd11554	8-methyl-3-oxo-nonanoyl-ACP
cpd15327_c	283.99999999999886	cpd15327	1-hexadecanoyl-sn-glycerol 3-phosphate
cpd00186_c	46.1428571428568	cpd00186	D-Glutamate
cpd01512_c	35.14285714285679	cpd01512	5-Oxo-D-proline
cpd00822_c	122.14285714285658	cpd00822	O-Succinyl-L-homoserine
cpd00036_c	62.71428571428537	cpd00036	Succinate
cpd00457_c	1.0000000000000195	cpd00457	Phosphocholine
cpd11621_c	22.714285714285644	cpd11621	Oxidizedferredoxin
cpd03596_c	12.000000000000002	cpd03596	4-Methylene-2-oxoglutarate
cpd10515_c	3.999999999999993	cpd10515	Fe2+
cpd15419_c	635.7142857142833	cpd15419	CDP-1,2-dihexadecanoylglycerol
cpd15545_c	560.9999999999978	cpd15545	Phosphatidylglycerophosphate dihexadecanoyl
cpd00790_c	91.1428571428568	cpd00790	O-Acetyl-L-homoserine
cpd00179_e	131.14285714285748	cpd00179	Maltose
cpd01919_c	96.14285714285745	cpd01919	maltose-6-phosphate
cpd03963_c	69.57142857142838	cpd03963	Biuret
cpd00073_c	50.14285714285704	cpd00073	Urea
cpd11489_c	17.999999999999872	cpd11489	3-oxododecanoyl-acp
cpd00347_c	171.14285714285668	cpd00347	5-10-Methenyltetrahydrofolate
cpd11476_c	50.285714285714405	cpd11476	hexadecanoyl-acp
cpd15309_c	588.7142857142834	cpd15309	1,2-Diacyl-sn-glycerol dihexadecanoyl
cpd15524_c	553.7142857142834	cpd15524	1,2-dihexadecanoyl-sn-glycerol 3-phosphate
cpd00076_c	158.1428571428574	cpd00076	Sucrose
cpd02298_c	242.71428571428606	cpd02298	1F-beta-D-Fructosylsucrose
cpd15088_c	48.28571428571429	cpd15088	Cyanidin 3-glucoside 5-caffeoylglucoside
cpd15779_c	1019.2857142857066	cpd15779	Isopentadecanoyllipoteichoic acid (n=24), linked, D-alanine substituted
cpd00069_c	85.14285714285684	cpd00069	L-Tyrosine
cpd15358_c	320.9999999999987	cpd15358	2-octadecanoyl-sn-glycerol 3-phosphate
cpd01080_c	307.71428571428436	cpd01080	Octadecanoic acid
cpd03653_c	124.7142857142855	cpd03653	GM4
cpd11491_c	17.999999999999872	cpd11491	3-oxotetradecanoyl-acp
cpd01318_c	28.428571428571274	cpd01318	Glycocholate
cpd00906_c	277.71428571428515	cpd00906	all-trans-Hexaprenyl diphosphate
cpd02590_c	333.9999999999993	cpd02590	all-trans-Heptaprenyl diphosphate
cpd00282_c	55.85714285714259	cpd00282	S-Dihydroorotate
cpd00343_c	56.85714285714261	cpd00343	N-Carbamoyl-L-aspartate
cpd00227_c	74.4285714285712	cpd00227	L-Homoserine
cpd00346_c	59.4285714285712	cpd00346	L-Aspartate4-semialdehyde
